book,name,ingredient,unit,amount
Liquid Intelligence,Cosmopolitan,Absolut Citron vodka,oz,1.5
Liquid Intelligence,Cosmopolitan,Cointreau,oz,0.75
Liquid Intelligence,Cosmopolitan,cranberry juice,oz,0.75
Liquid Intelligence,Cosmopolitan,lime juice,oz,0.5
Liquid Intelligence,Cosmopolitan,orange twist,garnish,1
Liquid Intelligence,Original Cosmopolitan,Absolut Citron vodka,oz,2
Liquid Intelligence,Original Cosmopolitan,Cointreau,oz,1
Liquid Intelligence,Original Cosmopolitan,cranberry juice,oz,0.25
Liquid Intelligence,Original Cosmopolitan,lime juice,oz,0.75
Liquid Intelligence,Original Cosmopolitan,orange twist,garnish,1
Liquid Intelligence,Brown Derby,bourbon whiskey,oz,2
Liquid Intelligence,Brown Derby,grapefruit juice,oz,1
Liquid Intelligence,Brown Derby,honey syrup,oz,0.5
Liquid Intelligence,Brown Derby,grapefruit twist,garnish,1
Liquid Intelligence,Hemingway Daiquiri,white rum,oz,2
Liquid Intelligence,Hemingway Daiquiri,lime juice,oz,0.75
Liquid Intelligence,Hemingway Daiquiri,grapefruit juice,oz,0.5
Liquid Intelligence,Hemingway Daiquiri,Luxardo Maraschino,oz,0.5
Liquid Intelligence,Hemingway Daiquiri,salt,pinch,1
Liquid Intelligence,Hemingway Daiquiri,lime wheel,garnish,1
Liquid Intelligence,Classic Daiquiri,white rum,oz,2
Liquid Intelligence,Classic Daiquiri,lime juice,oz,0.875
Liquid Intelligence,Classic Daiquiri,simple syrup,oz,0.75
Liquid Intelligence,Honeysuckle,white rum,oz,2
Liquid Intelligence,Honeysuckle,lime juice,oz,0.75
Liquid Intelligence,Honeysuckle,honey syrup,oz,0.75
Liquid Intelligence,Honeysuckle,lime wheel,garnish,1
Liquid Intelligence,Brandy Alexander,cognac,oz,2
Liquid Intelligence,Brandy Alexander,heavy cream,oz,1
Liquid Intelligence,Brandy Alexander,simple syrup,oz,0.25
Liquid Intelligence,Brandy Alexander,grated nutmeg,garnish,1
Liquid Intelligence,Blood and Sand,blended scotch whiskey,oz,1
Liquid Intelligence,Blood and Sand,sweet vermouth,oz,0.75
