stat,value,year
2UDrabbitNum,110.0,17
2UDrabbitEn,58.9,17
2UDrabbitRe,63.3,17
2UDrabbitFa,6.7,17
2UDwolfNum,1.0,17
2UDwolfEn,2244.8,17
2UDwolfRe,2255.0,17
2UDwolfFa,5.0,17
grassNum,937.0,18
grassEn,131.6,18
grassRe,129.0,18
grassFa,2.0,18
KDFwolfNum,16.0,18
KDFwolfEn,261.6,18
KDFwolfRe,547.8,18
KDFwolfFa,5.7,18
008rabbitNum,218.0,18
008rabbitEn,39.1,18
008rabbitRe,48.1,18
008rabbitFa,6.4,18
KDFrabbitNum,26.0,18
KDFrabbitEn,205.4,18
KDFrabbitRe,348.9,18
KDFrabbitFa,6.9,18
008wolfNum,3.0,18
008wolfEn,770.0,18
008wolfRe,1041.6,18
008wolfFa,5.2,18
2UDrabbitNum,133.0,18
2UDrabbitEn,57.9,18
2UDrabbitRe,63.3,18
2UDrabbitFa,6.6,18
2UDwolfNum,1.0,18
2UDwolfEn,2269.1,18
2UDwolfRe,2255.0,18
2UDwolfFa,5.0,18
grassNum,932.0,19
grassEn,135.7,19
grassRe,129.0,19
grassFa,2.0,19
KDFwolfNum,16.0,19
KDFwolfEn,255.9,19
KDFwolfRe,547.8,19
KDFwolfFa,5.7,19
008rabbitNum,237.0,19
008rabbitEn,36.4,19
008rabbitRe,48.0,19
008rabbitFa,6.4,19
KDFrabbitNum,28.0,19
KDFrabbitEn,218.5,19
KDFrabbitRe,348.7,19
KDFrabbitFa,6.8,19
008wolfNum,3.0,19
008wolfEn,835.7,19
008wolfRe,1041.6,19
008wolfFa,5.2,19
2UDrabbitNum,161.0,19
2UDrabbitEn,61.1,19
2UDrabbitRe,63.4,19
2UDrabbitFa,6.7,19
2UDwolfNum,2.0,19
2UDwolfEn,1571.5,19
2UDwolfRe,2254.2,19
2UDwolfFa,5.2,19
grassNum,908.0,20
grassEn,140.7,20
grassRe,129.2,20
grassFa,2.1,20
KDFwolfNum,16.0,20
KDFwolfEn,250.2,20
KDFwolfRe,547.8,20
KDFwolfFa,5.7,20
008rabbitNum,241.0,20
008rabbitEn,37.0,20
008rabbitRe,47.8,20
008rabbitFa,6.4,20
KDFrabbitNum,32.0,20
KDFrabbitEn,221.1,20
KDFrabbitRe,348.8,20
KDFrabbitFa,7.0,20
008wolfNum,4.0,20
008wolfEn,758.2,20
008wolfRe,1042.0,20
008wolfFa,5.2,20
2UDrabbitNum,192.0,20
2UDrabbitEn,62.8,20
2UDrabbitRe,63.9,20
2UDrabbitFa,6.6,20
2UDwolfNum,2.0,20
2UDwolfEn,1627.6,20
2UDwolfRe,2254.2,20
2UDwolfFa,5.2,20
grassNum,893.0,21
grassEn,143.9,21
grassRe,129.1,21
grassFa,2.2,21
KDFwolfNum,16.0,21
KDFwolfEn,244.5,21
KDFwolfRe,547.8,21
KDFwolfFa,5.7,21
008rabbitNum,266.0,21
008rabbitEn,35.7,21
008rabbitRe,47.7,21
008rabbitFa,6.4,21
KDFrabbitNum,35.0,21
KDFrabbitEn,225.2,21
KDFrabbitRe,348.3,21
KDFrabbitFa,7.0,21
008wolfNum,4.0,21
008wolfEn,771.5,21
008wolfRe,1042.0,21
008wolfFa,5.2,21
2UDrabbitNum,227.0,21
2UDrabbitEn,63.5,21
2UDrabbitRe,63.9,21
2UDrabbitFa,6.6,21
2UDwolfNum,2.0,21
2UDwolfEn,1715.2,21
2UDwolfRe,2254.2,21
2UDwolfFa,5.2,21
grassNum,856.0,22
grassEn,149.0,22
grassRe,129.0,22
grassFa,2.2,22
KDFwolfNum,16.0,22
KDFwolfEn,238.8,22
KDFwolfRe,547.8,22
KDFwolfFa,5.7,22
008rabbitNum,279.0,22
008rabbitEn,32.8,22
008rabbitRe,47.3,22
008rabbitFa,6.3,22
KDFrabbitNum,36.0,22
KDFrabbitEn,263.5,22
KDFrabbitRe,348.4,22
KDFrabbitFa,7.1,22
008wolfNum,4.0,22
008wolfEn,813.3,22
008wolfRe,1042.0,22
008wolfFa,5.2,22
2UDrabbitNum,275.0,22
2UDrabbitEn,60.8,22
2UDrabbitRe,64.4,22
2UDrabbitFa,6.6,22
2UDwolfNum,2.0,22
2UDwolfEn,1723.8,22
2UDwolfRe,2254.2,22
2UDwolfFa,5.2,22
grassNum,819.0,23
grassEn,153.6,23
grassRe,129.2,23
grassFa,2.2,23
KDFwolfNum,16.0,23
KDFwolfEn,239.9,23
KDFwolfRe,547.8,23
