name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,x,y,features
Ramos Gin Fizz,0.11278195488721801,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33,Old Tom gin|egg white|heavy cream|orange flower water|simple syrup|lemon juice|lime juice|soda water|orange wheel,Ramos|Gin|Fizz|fizz|collins|Old|Tom|gin|egg|white|heavy|cream|orange|flower|water|simple|syrup|lemon|juice|lime|juice|soda|water|orange|wheel,0.17824544438725842,-0.43281620287255335,Ramos|Gin|Fizz|fizz|collins|Old|Tom|gin|egg|white|heavy|cream|orange|flower|water|simple|syrup|lemon|juice|lime|juice|soda|water|orange|wheel
Bitter Guiseppe,0.11715976331360901,0.0861538461538462,0.0049704142011834295,4.225,stirred,coupe,0.3,Cynar|sweet vermouth|lemon juice|orange bitter,Bitter|Guiseppe|stirred|coupe|Cynar|sweet|vermouth|lemon|juice|orange|bitter,0.42722099271930647,0.4940311178777124,Bitter|Guiseppe|stirred|coupe|Cynar|sweet|vermouth|lemon|juice|orange|bitter
Planter's Punch,0.118518518518519,0.0647407407407407,0.0114567901234568,5.0625,shaken,old-fashioned,0.35,dark rum|pineapple juice|lime juice|orange juice|simple syrup|pineapple wedge|orange wheel|mint sprig,Planter's|Punch|shaken|old-fashioned|dark|rum|pineapple|juice|lime|juice|orange|juice|simple|syrup|pineapple|wedge|orange|wheel|mint|sprig,0.6508317691634349,-0.4831972404327515,Planter's|Punch|shaken|old-fashioned|dark|rum|pineapple|juice|lime|juice|orange|juice|simple|syrup|pineapple|wedge|orange|wheel|mint|sprig
Apple Toddy,0.120967734131114,0.0432208074434157,0.0,6.61333376,hot,mug,0.28,applejack|maple syrup|Angostura bitters|cinnamon tea,Apple|Toddy|hot|mug|applejack|maple|syrup|Angostura|bitters|cinnamon|tea,-0.6603771432669681,-0.042868611907019245,Apple|Toddy|hot|mug|applejack|maple|syrup|Angostura|bitters|cinnamon|tea
Bourbon Toddy,0.120967734131114,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,bourbon whiskey|simple syrup|Angostura bitters|boiling water,Bourbon|Toddy|hot|mug|bourbon|whiskey|simple|syrup|Angostura|bitters|boiling|water,-0.7411242784735872,-0.07993232811674107,Bourbon|Toddy|hot|mug|bourbon|whiskey|simple|syrup|Angostura|bitters|boiling|water
Rum Toddy,0.120967734131114,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,aged rum|simple syrup|Angostura bitters|boiling water,Rum|Toddy|hot|mug|aged|rum|simple|syrup|Angostura|bitters|boiling|water,-0.7394361496198238,-0.22127181304238255,Rum|Toddy|hot|mug|aged|rum|simple|syrup|Angostura|bitters|boiling|water
Moscow Mule,0.12121212121212101,0.0717045454545455,0.0068181818181818205,6.6,built,,0.2,vodka|ginger syrup|lime juice|club soda,Moscow|Mule|built|nan|vodka|ginger|syrup|lime|juice|club|soda,-0.10618163491368503,-0.7428802154704235,Moscow|Mule|built|nan|vodka|ginger|syrup|lime|juice|club|soda
Jungle Bird,0.12163742690058502,0.10159844054580901,0.0102923976608187,6.4125,shaken,old-fashioned,0.35,blackstrap rum|pineapple juice|Campari|lime juice|simple syrup|pineapple wedge,Jungle|Bird|shaken|old-fashioned|blackstrap|rum|pineapple|juice|Campari|lime|juice|simple|syrup|pineapple|wedge,0.159437041825735,-0.7424830014034184,Jungle|Bird|shaken|old-fashioned|blackstrap|rum|pineapple|juice|Campari|lime|juice|simple|syrup|pineapple|wedge
Esplanade Swizzle,0.125714285714286,0.11228571428571402,0.00904761904761905,5.25,swizzle,Collins,0.4,mezcal|sherry|lime juice|falernum|ginger syrup|mint sprig,Esplanade|Swizzle|swizzle|Collins|mezcal|sherry|lime|juice|falernum|ginger|syrup|mint|sprig,0.3750284710801428,-0.5654649827588415,Esplanade|Swizzle|swizzle|Collins|mezcal|sherry|lime|juice|falernum|ginger|syrup|mint|sprig
Southside Fizz,0.126482213438735,0.0991304347826087,0.00711462450592885,6.325,bubbly,,0.1,mint leaves|cucumber wheel|simple syrup|gin|lime juice|club soda,Southside|Fizz|bubbly|nan|mint|leaves|cucumber|wheel|simple|syrup|gin|lime|juice|club|soda,-0.08411806107475614,-0.796948752961289,Southside|Fizz|bubbly|nan|mint|leaves|cucumber|wheel|simple|syrup|gin|lime|juice|club|soda
Hot Toddy,0.128528217514309,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,rye whiskey|simple syrup|Angostura bitters|boiling water,Hot|Toddy|hot|mug|rye|whiskey|simple|syrup|Angostura|bitters|boiling|water,-0.753262900940439,-0.048473547900259935,Hot|Toddy|hot|mug|rye|whiskey|simple|syrup|Angostura|bitters|boiling|water
Blood and Sand,0.129320987654321,0.0449382716049383,0.00209876543209877,4.05,shaken,coupe,0.35,blended scotch whiskey|sweet vermouth|Cheery Heering|orange juice|orange twist,Blood|and|Sand|shaken|coupe|blended|scotch|whiskey|sweet|vermouth|Cheery|Heering|orange|juice|orange|twist,0.667362778682601,0.41788851694211604,Blood|and|Sand|shaken|coupe|blended|scotch|whiskey|sweet|vermouth|Cheery|Heering|orange|juice|orange|twist
The Bamboo,0.130859375,0.01953125,0.00234375,3.84,,,0.28,sherry|dry vermouth|orange bitters|Angostura bitters,The|Bamboo|nan|nan|sherry|dry|vermouth|orange|bitters|Angostura|bitters,-0.24598552535073615,0.43452897773059035,The|Bamboo|nan|nan|sherry|dry|vermouth|orange|bitters|Angostura|bitters
Champagne Cocktail,0.133037694013304,0.0221729490022173,0.0,5.6375,bubbly,flute,0.1,champagne|sugar|Angostura bitters|lemon twist,Champagne|Cocktail|bubbly|flute|champagne|sugar|Angostura|bitters|lemon|twist,-0.1744516745487494,0.21234780217931512,Champagne|Cocktail|bubbly|flute|champagne|sugar|Angostura|bitters|lemon|twist
Pisco Sour,0.133667502088555,0.0790726817042606,0.0075187969924812,5.985,fizz,coupe,0.33,pisco|egg white|simple syrup|lime juice|Angostura bitters,Pisco|Sour|fizz|coupe|pisco|egg|white|simple|syrup|lime|juice|Angostura|bitters,-0.2507268594532149,-0.2346555082876918,Pisco|Sour|fizz|coupe|pisco|egg|white|simple|syrup|lime|juice|Angostura|bitters
Old Hickory,0.141666666666667,0.0791666666666667,0.005,3.6,built,old-fashioned,0.2,sweet vermouth|dry vermouth|Peychaud's bitters|orange bitters|lemon twist,Old|Hickory|built|old-fashioned|sweet|vermouth|dry|vermouth|Peychaud's|bitters|orange|bitters|lemon|twist,-0.09157499964289885,0.8146073744440172,Old|Hickory|built|old-fashioned|sweet|vermouth|dry|vermouth|Peychaud's|bitters|orange|bitters|lemon|twist
Margarita,0.14251739936348098,0.109299478893435,0.0146889098730458,7.14825,shaken,coupe,0.35,tequila|triple sec|lime juice|lemon juice|simple syrup|salt,Margarita|shaken|coupe|tequila|triple|sec|lime|juice|lemon|juice|simple|syrup|salt,0.12124836972119224,-0.6194172133806369,Margarita|shaken|coupe|tequila|triple|sec|lime|juice|lemon|juice|simple|syrup|salt
Goslings Swizzle,0.14285714285714302,0.0758730158730159,0.00547619047619048,6.3,swizzle,Collins,0.4,aged rum|dark rum|orange juice|pineapple juice|falernum|Angostura bitters|mint sprig|orange peel,Goslings|Swizzle|swizzle|Collins|aged|rum|dark|rum|orange|juice|pineapple|juice|falernum|Angostura|bitters|mint|sprig|orange|peel,0.7639613765498413,-0.1696565621470967,Goslings|Swizzle|swizzle|Collins|aged|rum|dark|rum|orange|juice|pineapple|juice|falernum|Angostura|bitters|mint|sprig|orange|peel
Whiskey Sour,0.146079484425349,0.0809881847475833,0.00644468313641246,5.81875,fizz,coupe,0.33,rye whiskey|egg white|simple syrup|lemon juice|salt,Whiskey|Sour|fizz|coupe|rye|whiskey|egg|white|simple|syrup|lemon|juice|salt,-0.47434205390542317,-0.14849976914018223,Whiskey|Sour|fizz|coupe|rye|whiskey|egg|white|simple|syrup|lemon|juice|salt
Scofflaw Cocktail,0.150462962962963,0.0716666666666667,0.009861111111111109,5.4,shaken,coupe,0.35,rye whiskey|dry vermouth|lemon juice|grenadine|orange bitter|orange twist,Scofflaw|Cocktail|shaken|coupe|rye|whiskey|dry|vermouth|lemon|juice|grenadine|orange|bitter|orange|twist,0.6180280764278168,0.3878848553645937,Scofflaw|Cocktail|shaken|coupe|rye|whiskey|dry|vermouth|lemon|juice|grenadine|orange|bitter|orange|twist
Brandy 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,cognac|lemon juice|simple syrup|champagne,Brandy|75|bubbly|nan|cognac|lemon|juice|simple|syrup|champagne,-0.5025413162307666,-0.5822865177042312,Brandy|75|bubbly|nan|cognac|lemon|juice|simple|syrup|champagne
French 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,gin|lemon juice|simple syrup|champagne,French|75|bubbly|nan|gin|lemon|juice|simple|syrup|champagne,-0.4717814190676761,-0.6111361981867541,French|75|bubbly|nan|gin|lemon|juice|simple|syrup|champagne
Pisco 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,strawberry|simple syrup|pisco|lemon juice|champagne,Pisco|75|bubbly|nan|strawberry|simple|syrup|pisco|lemon|juice|champagne,-0.5403788585817562,-0.5456226510661583,Pisco|75|bubbly|nan|strawberry|simple|syrup|pisco|lemon|juice|champagne
Rum 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,aged rum|lemon juice|simple syrup|champagne,Rum|75|bubbly|nan|aged|rum|lemon|juice|simple|syrup|champagne,-0.45639709057598443,-0.6723862837713392,Rum|75|bubbly|nan|aged|rum|lemon|juice|simple|syrup|champagne
Tequila 75,0.156565656565657,0.0521212121212121,0.00606060606060606,4.95,bubbly,,0.1,tequila blanco|lemon juice|agave nectar|champagne,Tequila|75|bubbly|nan|tequila|blanco|lemon|juice|agave|nectar|champagne,-0.4916339099048294,-0.43987747797480853,Tequila|75|bubbly|nan|tequila|blanco|lemon|juice|agave|nectar|champagne
