grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
54,95.2,129.2,0.6,20,150.9,330.9,30.1,56,37.4,57.8,6.0
59,95.3,130.2,0.9,20,135.1,330.9,30.1,49,40.2,58.0,6.1
66,97.8,130.3,1.1,19,131.0,331.1,30.0,46,35.1,58.4,6.1
69,103.2,130.6,1.2,18,129.9,330.9,29.9,43,36.2,58.6,6.2
80,104.6,131.1,1.4,16,122.9,331.1,29.8,42,34.8,58.9,6.4
86,106.6,130.9,1.5,16,122.9,331.2,29.7,34,39.2,58.1,6.5
109,102.4,130.4,1.5,13,127.0,330.6,29.6,33,36.1,58.0,6.5
117,103.8,130.5,1.7,11,135.9,330.3,29.5,33,41.0,57.2,6.4
127,107.9,130.5,1.7,10,131.3,330.8,29.3,35,41.2,57.6,6.5
131,112.8,130.2,1.8,9,120.7,330.9,29.1,40,41.1,57.5,6.5
132,113.3,130.0,2.0,7,148.1,330.0,29.3,43,49.4,57.8,6.4
145,111.4,129.2,2.2,8,140.7,330.3,29.2,48,48.7,57.6,6.2
153,108.8,128.9,2.3,8,120.5,330.3,29.2,54,56.0,57.6,6.2
151,111.9,128.8,2.3,7,133.1,330.7,28.8,66,57.3,57.8,6.3
153,108.1,128.4,2.7,8,134.7,330.5,28.7,80,57.6,57.7,6.2
148,113.3,128.3,2.6,8,149.9,330.7,28.3,91,57.8,58.1,6.2
146,114.5,128.0,2.9,6,209.3,330.6,28.0,101,58.1,58.2,6.2
135,121.8,127.6,3.0,7,198.2,330.5,28.0,112,58.8,58.4,6.2
132,118.2,126.9,3.2,8,222.8,330.6,28.0,120,58.7,58.5,6.2
138,113.2,127.2,3.3,9,234.5,330.3,27.9,129,54.1,58.6,6.2
136,116.5,126.7,3.5,10,233.3,330.4,27.9,130,52.5,58.9,6.2
122,123.4,126.5,3.6,10,237.1,330.4,27.9,142,52.4,59.2,6.3
116,118.5,126.6,3.9,11,230.3,330.6,27.8,154,50.7,59.4,6.3
104,114.2,127.1,4.1,12,222.2,330.6,27.8,171,49.9,59.6,6.3
97,110.4,128.0,3.9,12,241.8,330.6,27.8,180,49.1,59.5,6.3
86,111.6,128.3,3.8,15,221.3,330.8,27.8,193,47.4,59.8,6.3
78,105.1,128.3,3.7,18,220.9,330.9,27.8,192,49.0,60.0,6.4
67,104.4,129.9,3.6,20,222.2,331.1,27.9,185,50.0,60.2,6.3
71,96.9,129.7,3.2,23,206.6,331.2,27.9,198,43.6,59.8,6.3
59,96.7,128.9,2.9,24,206.6,331.3,27.9,191,43.0,59.6,6.2
59,93.5,129.7,2.5,26,196.9,331.2,28.1,192,39.4,59.6,6.2
64,96.8,130.5,1.7,26,200.9,331.4,28.1,182,37.5,59.2,6.1
60,96.0,131.6,1.6,28,183.6,331.3,28.1,178,36.6,59.1,6.0
55,93.3,132.7,1.2,28,181.1,331.3,28.0,176,34.6,59.0,6.0
58,97.1,132.3,0.8,29,172.0,331.2,28.1,175,30.2,59.1,6.0
60,100.8,131.7,0.7,30,163.7,331.1,28.1,161,27.6,58.9,6.0
67,104.3,130.1,0.7,30,154.7,331.2,28.0,132,27.3,58.5,6.0
88,101.2,129.6,0.7,31,140.2,331.3,28.0,119,23.5,58.0,6.0
90,104.1,130.3,0.8,29,132.6,331.2,28.1,104,24.0,57.9,5.9
91,109.3,130.2,0.8,28,122.8,331.2,28.2,91,23.4,57.6,5.8
92,112.2,130.7,0.8,23,128.7,331.2,28.2,79,27.4,57.3,5.6
100,109.6,131.0,0.8,18,152.1,331.4,28.1,74,29.6,56.8,5.6
103,108.8,130.4,1.2,17,153.1,331.4,28.0,60,36.1,56.3,5.4
111,111.7,129.5,1.2,17,139.0,331.4,28.0,57,37.2,56.2,5.5
109,117.5,129.7,1.2,15,150.9,331.1,28.2,61,36.1,56.0,5.5
111,116.1,129.4,1.4,16,134.7,331.3,28.1,62,42.8,55.9,5.5
116,118.2,128.9,1.4,15,125.9,331.4,28.1,68,43.0,55.9,5.6
113,122.6,128.6,1.6,13,141.8,331.4,28.1,74,40.6,55.9,5.5
114,125.8,129.0,1.7,10,188.5,331.9,27.9,75,43.8,56.1,5.5
108,130.7,129.1,1.7,11,181.9,332.0,27.8,85,38.5,56.1,5.5
96,141.6,128.9,1.5,9,224.6,332.6,27.5,90,41.1,56.2,5.5
95,138.9,128.6,1.7,11,204.5,332.6,27.5,99,43.6,56.3,5.6
83,141.2,128.8,1.7,11,217.2,332.6,27.5,105,45.6,56.5,5.6
78,143.4,128.4,1.8,10,240.9,332.9,27.3,108,45.9,56.9,5.6
76,138.2,127.5,1.6,10,252.8,332.9,27.3,117,42.1,57.0,5.7
65,127.5,127.9,2.0,13,225.0,332.9,27.3,119,47.4,57.3,5.8
59,118.3,128.9,1.6,15,223.5,333.1,27.2,115,49.0,57.4,5.8
54,111.7,127.0,2.3,16,217.2,333.1,27.1,121,45.1,57.8,5.8
52,96.5,126.5,2.0,18,209.2,333.0,27.2,122,47.2,58.1,5.9
47,98.8,127.2,1.7,19,201.0,332.9,27.1,123,42.4,58.4,5.9
46,97.6,127.4,1.5,19,183.4,332.9,27.1,120,41.8,58.7,6.0
49,93.4,127.3,1.3,18,180.2,333.1,27.0,127,39.9,58.9,6.1
50,98.5,128.5,1.5,19,165.8,333.1,27.0,129,36.7,59.0,6.1
54,98.2,128.4,1.6,18,171.1,333.1,27.0,122,34.6,59.3,6.1
63,103.1,128.3,1.3,17,175.8,333.0,27.0,116,32.2,59.5,6.1
64,104.1,128.3,1.3,19,182.3,333.2,26.9,103,31.4,60.0,6.1
76,98.5,127.9,1.6,20,188.3,333.4,26.8,90,30.8,60.1,6.2
87,100.9,127.2,1.7,21,197.2,333.2,26.9,71,32.4,60.3,6.2
93,101.2,127.4,1.9,22,190.1,333.3,26.8,66,32.1,59.5,6.3
101,105.0,126.7,1.9,21,203.6,333.6,26.7,56,36.1,58.7,6.3
107,106.8,127.0,2.0,22,194.2,333.6,26.7,46,40.3,58.5,6.4
117,109.0,127.2,2.1,22,187.5,333.6,26.7,44,39.0,58.4,6.4
118,112.5,127.1,2.2,22,179.0,333.7,26.8,51,43.5,57.9,6.2
125,110.6,126.8,2.1,22,170.8,333.7,26.8,47,50.8,57.6,6.2
134,109.5,127.2,2.2,24,153.3,333.9,26.8,54,49.0,57.0,6.3
132,110.3,126.8,2.2,22,161.9,334.0,26.8,56,55.4,56.5,6.4
128,111.8,126.7,2.2,22,175.2,334.1,26.7,62,54.8,56.1,6.5
125,112.3,127.0,2.3,24,170.6,334.3,26.7,69,53.5,56.3,6.6
125,114.1,126.4,2.3,23,180.7,334.3,26.6,72,50.0,56.1,6.8
137,105.2,126.8,2.5,25,180.7,334.4,26.8,85,45.7,56.1,6.8
136,103.9,127.1,2.3,22,204.0,334.4,26.9,91,46.5,56.0,6.8
129,105.5,126.2,2.2,22,215.1,334.5,26.9,97,47.9,56.2,6.7
126,109.1,126.0,2.3,22,222.1,334.5,26.9,103,40.4,56.2,6.6
129,108.1,126.5,2.3,23,214.9,334.5,26.9,101,41.9,56.0,6.6
138,109.5,125.7,2.2,23,213.7,334.5,26.9,102,35.9,55.9,6.7
144,111.0,125.7,2.1,25,199.9,334.5,26.9,103,35.7,56.0,6.6
151,110.2,125.9,2.1,25,203.1,334.5,26.9,102,35.1,55.9,6.6
151,112.6,125.5,2.3,27,193.7,334.5,26.9,97,36.2,56.1,6.5
147,118.7,124.5,2.4,28,183.4,334.5,26.8,93,34.5,56.5,6.3
153,119.3,124.0,2.5,28,176.0,334.5,26.8,80,35.5,57.0,6.3
166,116.5,123.6,2.5,27,163.6,334.4,26.9,75,41.7,57.7,6.1
173,115.6,123.4,2.8,27,153.4,334.4,26.9,82,40.1,57.9,6.1
169,117.1,123.1,2.9,26,148.8,334.4,26.8,95,41.9,58.3,6.3
157,121.5,121.7,3.0,26,145.9,334.4,26.8,101,48.1,58.7,6.3
154,120.4,120.9,3.1,25,160.8,334.2,26.8,103,43.2,58.8,6.4
150,121.2,120.9,3.1,28,160.5,334.1,26.9,115,40.3,59.1,6.4
154,117.8,121.5,3.1,27,170.8,334.1,26.9,112,42.7,59.0,6.6
160,116.7,121.7,3.2,24,180.0,334.0,26.9,124,38.0,58.9,6.6
145,123.0,121.5,3.4,22,195.4,334.1,26.9,120,42.2,59.0,6.6
155,113.7,120.9,3.4,21,206.8,334.0,26.9,115,45.6,59.1,6.6
153,112.8,121.8,3.3,22,199.9,334.0,26.8,106,51.5,59.2,6.6
164,108.8,122.5,3.2,23,198.4,333.9,26.8,99,47.9,59.2,6.6
