tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 500.0, 0.0, 500.0, 0.0, 'TAPWJB', 241, 345, 13, 87, 137, 5, 15, 22, 9, 37
1, 500, 214.0, 0.0, 214.0, 0.0, 'KFXQP9', 247, 345, 13, 89, 131, 5, 16, 19, 7, 39
1, 500, 119.0, 0.0, 119.0, 0.0, '4PAZEL', 246, 349, 10, 87, 134, 6, 17, 15, 12, 41
1, 500, 197.0, 0.0, 197.0, 0.0, 'ITHG13', 252, 346, 6, 81, 127, 5, 20, 16, 4, 34
1, 500, 89.0, 0.0, 89.0, 0.0, '1XNV6T', 253, 334, 10, 78, 110, 5, 16, 22, 5, 35
1, 500, 500.0, 0.0, 500.0, 0.0, 'B75SB8', 257, 329, 5, 68, 127, 5, 17, 31, 11, 49
1, 500, 82.0, 0.0, 82.0, 0.0, '6KWUMP', 236, 341, 5, 82, 118, 5, 14, 31, 8, 45
1, 500, 98.0, 0.0, 98.0, 0.0, '1XH11V', 250, 335, 11, 83, 126, 5, 15, 27, 9, 58
1, 500, 82.0, 0.0, 82.0, 0.0, 'Q11TOV', 242, 329, 10, 83, 141, 5, 15, 29, 11, 47
1, 500, 243.0, 0.0, 243.0, 0.0, 'TZ01B0', 252, 357, 10, 84, 134, 5, 15, 26, 10, 48
1, 500, 202.0, 0.0, 202.0, 0.0, 'OF92WI', 242, 343, 12, 98, 134, 5, 14, 29, 4, 43
1, 500, 90.0, 0.0, 90.0, 0.0, 'MZXPCY', 259, 351, 5, 106, 126, 5, 13, 30, 9, 40
1, 500, 500.0, 0.0, 500.0, 0.0, 'T7U77A', 262, 354, 15, 100, 110, 5, 14, 30, 7, 44
1, 500, 15.0, 0.0, 15.0, 0.0, '4O4FM1', 252, 339, 15, 95, 104, 5, 16, 30, 6, 46
1, 500, 500.0, 0.0, 500.0, 0.0, 'ZM6I7H', 237, 363, 13, 88, 110, 5, 18, 28, 8, 39
1, 500, 500.0, 0.0, 500.0, 0.0, 'EHSWVA', 236, 349, 8, 89, 122, 5, 18, 31, 10, 43
1, 500, 500.0, 0.0, 500.0, 0.0, 'V8OED5', 216, 352, 5, 94, 122, 5, 22, 29, 9, 44
1, 500, 128.0, 0.0, 128.0, 0.0, 'NOHR2J', 218, 349, 7, 93, 118, 5, 24, 28, 7, 44
1, 500, 100.0, 0.0, 100.0, 0.0, '85UH7Q', 217, 357, 13, 94, 125, 5, 20, 31, 8, 49
1, 500, 137.0, 0.0, 137.0, 0.0, 'MCIGCF', 236, 353, 5, 90, 110, 5, 19, 31, 11, 50
1, 500, 500.0, 0.0, 500.0, 0.0, 'QALWT8', 237, 354, 5, 101, 111, 5, 18, 31, 6, 38
1, 500, 500.0, 0.0, 500.0, 0.0, 'L4KKLE', 257, 355, 5, 94, 114, 5, 17, 31, 1, 41
1, 500, 500.0, 0.0, 500.0, 0.0, 'AC79JQ', 253, 350, 7, 97, 106, 6, 17, 31, 7, 41
1, 500, 307.0, 0.0, 307.0, 0.0, 'YLYQ8R', 256, 345, 13, 94, 117, 5, 11, 29, 8, 44
1, 500, 500.0, 0.0, 500.0, 0.0, 'X54OSE', 267, 358, 11, 91, 110, 5, 11, 31, 7, 41
1, 500, 89.0, 0.0, 89.0, 0.0, 'EU6KFV', 253, 354, 7, 83, 99, 5, 10, 31, 1, 38
